// Indonesian langfile for BombusQD - mobile jabber client
// Copyright (c) 2005-2008, Eugene Stahov (evgs), http://bombus-im.org
// (c) barep <barep@indochat.co.cc> http://barep.jw.lt

// All rights reserved.

// ask server to send us localized messages
xmlLang	_ID
online	Online
chat	Bebas Ngobrol
away	Sibuk
xa	Tidak Tersedia
invisible	Tersamar
dnd	Jangan Diganggu
offline	Offline
Jid	Jid
Privacy Lists	Daftar Pribadi
Message font	Huruf Pesan
Roster font	Huruf Daftar Nama
Paste Body	Tempel Semua
Configure Room	Pengaturan Ruang
Paste Subject	Tempel Topik
Service Discovery	Pencarian Layanan
User JID	JID Pengguna
New list	Daftar Baru
Select (no login)	Pilih (tidak login)
Privacy rule	Aturan Pribadi
use SSL	Gunakan SSL
Modify	Ubah
Update	Perbarui
Account name	Nama Akun
GMT offset	Atur GMT (GMT+)
Time settings (hours)	Atur Waktu (jam)
Connected	Tersambung
Connect to 	Sambung Ke 
Alert Profile	Profil suara
Move Up	Ke Atas
Owners	Pemilik
Ok	OK
Minimize	Ke Menu Platform
Room	Ruang
Messages	Pesan
Refresh	Segarkan
Resolve Nicknames	Tetapkan Nama Panggilan
Action	Aksi
Ban	Asingkan (ban)
Leave Room	Keluar Ruangan
Password	Sandi
Actions >	Aksi >
Activate	Aktifkan
Affiliation	Keanggotaan
Accounts	Akun
Delete list	Hapus Daftar
Account >	Akun >
Select	Pilih
Subject	Topik
Quit	Keluar
Edit list	Edit Daftar
Registering	Daftarkan
Done	Selesai
Error: 	Kesalahan: 
Browse	Jelajah
Save list	Simpan Daftar
Keep-Alive period	Periode Tetap Hidup
<New Group>	<Grup Baru>
Send	Kirim
Priority	Prioritas
Failed	Gagal
Set Priority	Atur Prioritas
Delete rule	Hapus Aturan
Ignore-List	Daftar Abai
Roster request	Memuat Data
Name	Nama
Username	Nama Pengguna
fullscreen	Layar Penuh
Add bookmark	Tambah Penunjuk
conferences only	Hanya Konferensi
Client Version	Versi Klien
Discard Search	Batalkan Pencarian
Search Results	Hasil Pencarian
Users search	Cari Pengguna
General	Umum
Members	Anggota
Add Contact	Tambah Kontak
Subscription	Langganan
Status >	Status >
Join	Join
Startup actions	Aksi Permulaan
Server	Layanan
Admins	Admin
Make Ignore-List	Membuat Daftar Abai
Options	Pengaturan
Options>	Pengaturan>
Delete	Hapus
Delete contact?	Hapus Kontak?
Authorize	Beri Hak
Nicknames	Nama Panggilan
to Archive	Ke Arsip
Back	Kembali
heap monitor	Monitor Memori(heap)
keys for old SE	Tombol untuk SE lama
Message	Pesan
