-im/,bombus.pl,bluejabber.com,bombusmod.eu,eqx.su/emess/,-im/caps,http://swift.im/,storm-bot.googlecode.com/svn/trunk/,fatal-bot/trunk/,caps/,bombusng-md.googlecode.com/caps,voffk.org.ru/bombus/caps,bombusng-qd.googlecode.com/caps,isida.googlecode.com/caps,bombus-im.org/ng/caps,ex-im.mobi,mod/caps,pandion/caps,psi/caps,miranda/caps,tkabber/caps,gajim/caps,qip/caps,pidgin/caps,kopete/caps,exodus/caps,bitlbee/caps,coccinella/caps,mchat/caps,vacuum/caps,gaim/caps,jajc/caps,qutim/caps,nimbuzz/caps,siejc/caps,trillian/caps,oneteam/caps,palringo/caps,psi-im/caps,butterfly/,.caps,jw.lt/caps,avalon/caps,telepathy/caps,mcabber/caps,juick/caps,jimm/caps,jubo/caps,isida/caps,none/caps,psi-im/caps,miranda-im/caps,talkonaut/caps,adium.com,adiumx.com,isida-bot/caps,vacuum-im/caps,:/caps,pigeon/caps,./caps,tkabber.jabber.ru/caps,qutim.org/caps,isida-bot.com/caps,bombus-im.org/java/caps,mchat.mgslab.com/caps,0.ru/caps,1.ru/caps,2.ru/caps,3.ru/caps,4.ru/caps,5.ru/caps,6.ru/caps,7.ru/caps,8.ru/caps,9.ru/caps	Fake
http://vacuum-im.googlecode.com,http://code.google.com/p/vacuum-im/	Vacuum IM
http://emess.eqx.su/caps,http://eqx.su/emess	Emess
http://psi-dev.googlecode.com/caps	Psi+
http://miranda-im.org/caps	Miranda
http://voffk.org.ru/bombus	Bombus+
http://swift.im	Swift
http://tkabber.jabber.ru/	Tkabber
http://gajim.org	Gajim
http://www.asterisk.org/xmpp/client/caps	Asterisk
http://pidgin.im/,http://gaim.sf.net/caps	Libpurple
http://qutim.org	qutIM
http://exodus.jabberstudio.org/caps	Exodus
http://bombus-im.org/java	Bombus
http://bitlbee.org/xmpp/caps	BitlBee
http://coccinella.sourceforge.net/protocol/caps	Coccinella
http://mcabber.lilotux.net/caps,http://mcabber.com/caps	mcabber
http://dev.jabbim.cz/jabbim/caps	Jabbim
http://palringo.com/caps	Palringo / uTalk
http://jimm.net.ru/caps,http://leamare.tk	Jimm aspro
http://jajc.jrudevels.org/caps	JAJC
http://snapi-bot.googlecode.com/caps	Snapi-Snup Bot
http://bombusng-md.googlecode.com	BombusNG-MD
http://mchat.mgslab.com/	mChat
http://online.yandex.ru/caps	YaOnline
http://bombusmod-qd.wen.ru/caps	BombusQD
http://bombusmod.net.ru,http://ex-im.name/caps	BombusMod
http://psi-im.org/caps	Psi
http://www.google.com/xmpp/client/caps,talk.google.com	GoogleTalk
http://apps.radio-t.com/caps	AIR Radio-T
http://bombus-im.org/ng,http://bombusng-qd.googlecode.com	BombusNG
http://jabber.pdg.pl/caps,http://klub54.wen.ru	BombusKlub
http://bluendo.com/protocol/caps	Lampiro
http://www.weonlydo.com/XMPP/caps	wod-xmpp
http://chat.freize.org/caps	Freize Web Chat
http://tomclaw.com/mandarin_im/caps	Mandarin IM
http://stranger.kiev.ua/caps	fin jabber
http://oneteam.im/caps	OneTeam
http://jtalk.ustyugov.net/caps	jTalk
http://aqq.eu/	AQQ
http://isida.googlecode.com,http://isida-bot.com	Isida Bot
http://jabber-net.ru/talisman-bot/caps,http://witcher-team.ucoz.ru/	Talisman Bot
https://www.jappix.com/	Jappix
http://www.igniterealtime.org/projects/smack/	Smack API
qip.ru/caps	QIP
nimbuzz:caps	Nimbuzz
http://java.util.Random@,0.ru,1.ru,2.ru,3.ru,4.ru,5.ru,6.ru,7.ru,8.ru,9.ru	Bombus Avalon
jabbrik.ru,http://jabrvista.net.ru,svn.jsmart.web.id,http://blacksmith-2.googlecode.com/svn/,http://fin.jabber.ru,bot,jame,clon,Kabul,freq	Jabber Bot
