afraid	испуганное
amazed	изумленное
amorous	влюбленное
angry	рассерженное
annoyed	раздраженное
anxious	озабоченное
aroused	пробужденное
ashamed	пристыженное
bored	скучающее
brave	смелое
calm	спокойное
cautious	осторожное
cold	холодно
confident	уверенное
confused	в замешательстве
contemplative	созерцательное
contented	довольное
cranky	недовольное
crazy	сумасшедшее
creative	творческое
curious	любознательное
dejected	удрученное(?)
depressed	подавленное
disappointed	разочарованное
disgusted	чувствую отвращение
dismayed	смятение
distracted	растерянное
embarrassed	смущенное
envious	зависть
excited	взволнованное
flirtatious	кокетливое
frustrated	расстроенное
grateful	признательное
grieving	скорбящее
grumpy	ворчливое
guilty	виноватое
happy	счастливое
hopeful	надеюсь
hot	жарко
humbled	смиренное
humiliated	оскорбленное
hungry	хочу есть
hurt	уязвленное
impressed	под впечатлением
in_awe	подчиненное
in_love	любовь
indignant	возмущенное
interested	заинтересованное
intoxicated	опьяненное
invincible	неукротимое
jealous	ревнивое
lonely	одинокое
lost	потерянное
lucky	счастливое
mean	сволочное
moody	унылое
nervous	нервное
neutral	безразличное
offended	обиженное
outraged	возмущенное
playful	игривое
proud	горделивое
relaxed	расслабленное
relieved	угасающее
remorseful	раскаивающееся
restless	неугомонное
sad	печальное
sarcastic	язвительное
satisfied	удовлетворенное
serious	серьезное
shocked	потрясенное
shy	застенчивое
sick	болезненное
sleepy	сонное
spontaneous	спонтанное(?)
stressed	напряженное
strong	сильное(?)
surprised	удивленное
thankful	благодарное
thirsty	хочу пить
tired	уставшее
undefined	неопределенное
weak	слабое
worried	беспокойное
-	<нет настроения>
