BombusMod	bombusmod.net.ru
Bombus	bombus-im.org
Bombus-ng	bombus-im.org/ng
Psi	psi-im.org
Miranda	miranda-im.org
Bombus+	voffk.org.ru
Google	google.com/xmpp/client/caps
Tkabber	tkabber.jabber.ru
Gajim	gajim.org
QIP	qip.ru
Pidgin	pidgin.im
Kopete	kopete.kde.org/jabber/caps
Exodus	exodus.jabberstudio.org
Siemens Native Jabber Client	Siemens Native Jabber Client
BitlBee	bitlbee.org
Coccinella	coccinella.sourceforge.net
mcabber	mcabber
iChatAgent	apple.com/ichat/caps
Jabbim	dev.jabbim.cz/jabbim/caps
BombusMod (PL)	bombus.pl
Home	Home
Office	Office
JAJC	jajc.jrudevels.org
Bombus-Avalon	java.util.Random
Sm@per	smaper
mChat	mchat.mgslab.com
Gaim	gaim.sf.net
Ya.Online	online.yandex.ru
qutIM	qutim
Vacuum	vacuum
BombusQD	bombusmod-qd.wen.ru
Ex	ex-im.name
Jimm	jimm.net.ru
Talkonaut	talkonaut.com
Lampiro	Lampiro
Nimbuzz	nimbuzz.com
movamessenger	movamessenger
Psi+	psi-dev.googlecode.com
MailAgent	agent.mail.ru
Bayan	barobin.com
Simak.ru	simak.ru
JETI	jeti.sf.net
Trillian	trillian.cc
WokJab	wokjab.nedo.se
Adium	adiumx.com
