-im/,-im/,aqq.eu/caps,gajim.org/caps,nimbuzz.com/,nimbuzzmod,http://google,kissmod,bluejabber.com,http://swift.im/,caps/,voffk.org.ru/bombus/caps,bombusng-qd.googlecode.com/caps,isida.googlecode.com/caps,/ng/caps,ex-im.mobi,mod/caps,pandion/caps,psi/caps,miranda/caps,tkabber/caps,gajim/caps,qip/caps,pidgin/caps,kopete/caps,exodus/caps,bitlbee/caps,coccinella/caps,mchat/caps,vacuum/caps,gaim/caps,jajc/caps,qutim/caps,nimbuzz.com/,nimbuzz/caps,siejc/caps,trillian/caps,oneteam/caps,palringo/caps,psi-im/caps,butterfly/,.caps,jw.lt/caps,avalon/caps,telepathy/caps,mcabber/caps,juick/caps,jimm/caps,jubo/caps,isida/caps,none/caps,talkonaut/caps,adium.com,adiumx.com,isida-bot/caps,vacuum-im/caps,:/caps,pigeon/caps,./caps,tkabber.jabber.ru/caps,qutim.org/caps,isida-bot.com/,bombus-im.org/java/caps,mchat.mgslab.com/caps,0.ru/caps,1.ru/caps,2.ru/caps,3.ru/caps,4.ru/caps,5.ru/caps,6.ru/caps,7.ru/caps,8.ru/caps,9.ru/caps	Wrong entity caps
http://bombusmod.net.ru/caps	BombusMod
http://bombusmod.net.ru,http://ex-im.name/caps	BombusMod (old)
http://gajim.org/	Gajim (old)
http://miranda-im.org/caps	Miranda
http://voffk.org.ru/bombus	Bombus+
http://online.yandex.ru/caps	YaOnline
http://tkabber.jabber.ru/	Tkabber
http://psi-dev.googlecode.com/caps	Psi+
http://isida-bot.com	Isida Bot
http://palringo.com/caps	uTalk
http://qutim.org	qutIM
http://chat.freize.org/caps	Freize Web Chat
http://bombus-im.org/java	Bombus
http://bitlbee.org/xmpp/caps	BitlBee
http://bombusmod-qd.wen.ru/caps	BombusQD
http://mcabber.lilotux.net/caps,http://mcabber.com/caps	mcabber
http://dev.jabbim.cz/jabbim/caps	Jabbim
http://qip.ru/caps?QIP	QIP Mobile
http://jimm.net.ru/caps	Jimm aspro
http://jajc.jrudevels.org/caps	JAJC
http://kopete.kde.org/jabber/caps	Kopete
http://bombus-im.org/ng	BombusNG
http://trillian.im/caps	Trillian
http://gaim.sf.net/caps	Gaim
http://emess.eqx.su/caps,http://eqx.su/emess	Emess
http://jabbrik.ru/caps	Uta Bot
http://agent.mail.ru	Mail.Ru Agent
http://www.google.com/xmpp/client/caps	Gtalk
http://jasmineicq.ru/caps	Jasmine IM
http://www.barobin.com/caps	BayanICQ
http://jabber.pdg.pl/caps,http://klub54.wen.ru/caps	BombusKlub
http://www.apple.com/ichat/caps	iChat Agent
http://coccinella.sourceforge.net/protocol/caps	Coccinella
http://bluendo.com/protocol/caps	Lampiro
http://pda.qip.ru/caps	QIP PDA
http://qip.ru/caps	QIP
http://2010.qip.ru/caps	QIP 2010
http://www.android.com/gtalk/client/caps	Gtalk Android
http://erlim.a7x-im.com/	Erlang IM
http://mail.google.com/xmpp/client/caps	Gmail
http://stranger.kiev.ua/caps	fin jabber
http://sonicrevolution.no.sapo.pt	Sonic Revolution
http://swift.im	Swift
http://www.igniterealtime.org/projects/smack/	Smack API
http://www.weonlydo.com/XMPP/caps	wod-xmpp
http://svn.posix.ru/fatal-bot/trunk,http://fatal-bot.spb.ru/caps,http://fatal-dev.ru/bot/caps	Fatal Bot
http://www.asterisk.org/xmpp/client/caps	Asterisk
http://apps.radio-t.com/caps	AIR Radio-T
http://jtalk.ustyugov.net/caps	jTalk
http://bombusng-qd.googlecode.com	BombusNG QD
http://megafonvolga.ru/	MegaFon Connect
http://bombusng-md.googlecode.com	BombusNG MD
http://leechcraft.org/azoth	Leechcraft Azoth
https://www.jappix.com/	Jappix
http://oneteam.im/caps,ttp://www.process-one.net/en/solutions/oneteam_iphone/	OneTeam iPhone
http://telepathy.freedesktop.org/caps	Telepathy
http://vacuum-im.googlecode.com,http://code.google.com/p/vacuum-im/	Vacuum IM
